date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:32:34	131/131	---MCZ	200	added ('OK')	text/plain	date:Fri,%2013%20Oct%202023%2005:32:36%20GMT	https://lucaswoock.com/robots.txt		(from )
10:32:35	55944/55944	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2005:32:36%20GMT	https://lucaswoock.com/	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/index.html	(from )
10:32:35	5171/5171	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Sep%202023%2016:30:30%20GMT	https://lucaswoock.com/wp-content/themes/nc/static/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/themes/nc/static/favicon/apple-touch-icon.png	(from https://lucaswoock.com/)
10:32:35	1441/1441	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Sep%202023%2016:30:31%20GMT	https://lucaswoock.com/wp-content/themes/nc/static/favicon/favicon-32x32.png	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/themes/nc/static/favicon/favicon-32x32.png	(from https://lucaswoock.com/)
10:32:35	864/864	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Sep%202023%2016:30:31%20GMT	https://lucaswoock.com/wp-content/themes/nc/static/favicon/favicon-16x16.png	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/themes/nc/static/favicon/favicon-16x16.png	(from https://lucaswoock.com/)
10:32:36	456/456	---M--	200	added ('OK')	text/html	date:Sun,%2010%20Sep%202023%2016:30:32%20GMT	https://lucaswoock.com/wp-content/themes/nc/static/favicon/site.webmanifest	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/themes/nc/static/favicon/site.html	(from https://lucaswoock.com/)
10:32:36	786/786	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Sep%202023%2016:30:32%20GMT	https://lucaswoock.com/wp-content/themes/nc/static/favicon/safari-pinned-tab.svg	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/themes/nc/static/favicon/safari-pinned-tab.svg	(from https://lucaswoock.com/)
10:32:36	15086/15086	---M--	200	added ('OK')	image/x-icon	date:Sun,%2010%20Sep%202023%2016:30:31%20GMT	https://lucaswoock.com/wp-content/themes/nc/static/favicon/favicon.ico	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/themes/nc/static/favicon/favicon.ico	(from https://lucaswoock.com/)
10:32:36	261/261	---M--	200	added ('OK')	application/xml	date:Sun,%2010%20Sep%202023%2016:30:31%20GMT	https://lucaswoock.com/wp-content/themes/nc/static/favicon/browserconfig.xml	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/themes/nc/static/favicon/browserconfig.xml	(from https://lucaswoock.com/)
10:32:38	104484/104484	---M-Z	200	added ('OK')	text/css	date:Sun,%2010%20Sep%202023%2016:19:26%20GMT	https://lucaswoock.com/wp-includes/css/dist/block-library/style.min.css?ver=6.3.2	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-includes/css/dist/block-library/style.mine35d.css	(from https://lucaswoock.com/)
10:32:38	1984/1984	---MC-	200	added ('OK')	application/rss+xml	etag:%223c3f43d9fb2a78fdd26ad55106bde2ef%22	https://lucaswoock.com/feed/	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/feed/index.html	(from https://lucaswoock.com/)
10:32:39	121998/121998	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202023%2018:56:31%20GMT	https://lucaswoock.com/wp-content/themes/nc/dist/css/styles.css?ver=6.3.2	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/themes/nc/dist/css/stylese35d.css	(from https://lucaswoock.com/)
10:32:39	8778/8778	---MC-	200	added ('OK')	application/json	date:Fri,%2013%20Oct%202023%2005:32:40%20GMT	https://lucaswoock.com/wp-json/wp/v2/pages/20	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-json/wp/v2/pages/20.json	(from https://lucaswoock.com/)
10:32:39	799/799	---MCZ	200	added ('OK')	text/xml	date:Fri,%2013%20Oct%202023%2005:32:41%20GMT	https://lucaswoock.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/xmlrpc0db0.php	(from https://lucaswoock.com/)
10:32:40	2758/2758	---MC-	200	added ('OK')	application/json	date:Fri,%2013%20Oct%202023%2005:32:41%20GMT	https://lucaswoock.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Flucaswoock.com%2F	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-json/oembed/1.0/embed5075.json	(from https://lucaswoock.com/)
10:32:40	845998/845998	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20Sep%202023%2020:21:39%20GMT	https://lucaswoock.com/wp-content/uploads/2023/09/Twitter.jpg	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/uploads/2023/09/Twitter.jpg	(from https://lucaswoock.com/)
10:32:40	196732/196732	---MC-	200	added ('OK')	application/json	date:Fri,%2013%20Oct%202023%2005:32:40%20GMT	https://lucaswoock.com/wp-json/	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-json/index.html	(from https://lucaswoock.com/)
10:32:40	2881/2881	---MCZ	200	added ('OK')	text/xml	date:Fri,%2013%20Oct%202023%2005:32:42%20GMT	https://lucaswoock.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Flucaswoock.com%2F&format=xml	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-json/oembed/1.0/embeda1fd	(from https://lucaswoock.com/)
10:32:41	256/256	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2013%20Oct%202023%2005:32:42%20GMT	https://lucaswoock.com/wp-content/themes/nc	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/themes/nc	(from https://lucaswoock.com/)
10:32:41	522/522	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Sep%202023%2016:42:15%20GMT	https://lucaswoock.com/wp-content/uploads/2023/09/subdirectory_arrow_left.svg	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/uploads/2023/09/subdirectory_arrow_left.svg	(from https://lucaswoock.com/)
10:32:42	71673/71673	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2005:32:43%20GMT	https://lucaswoock.com/works/	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/works/index.html	(from https://lucaswoock.com/)
10:32:44	123915/123915	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Sep%202023%2016:40:04%20GMT	https://lucaswoock.com/wp-content/uploads/2023/08/thumb-parcel-1400x1080.jpg	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/uploads/2023/08/thumb-parcel-1400x1080.jpg	(from https://lucaswoock.com/)
10:32:44	33055/33055	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2005:32:44%20GMT	https://lucaswoock.com/contact/	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/contact/index.html	(from https://lucaswoock.com/)
10:32:44	109816/109816	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Sep%202023%2016:41:01%20GMT	https://lucaswoock.com/wp-content/uploads/2023/09/GP-explorer-cover-1400x933.jpg	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/uploads/2023/09/GP-explorer-cover-1400x933.jpg	(from https://lucaswoock.com/)
10:32:44	43497/43497	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2005:32:43%20GMT	https://lucaswoock.com/about/	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/about/index.html	(from https://lucaswoock.com/)
10:32:45	31750/31750	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2005:32:46%20GMT	https://lucaswoock.com/legal-notice/	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/legal-notice/index.html	(from https://lucaswoock.com/)
10:32:45	53925/53925	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2005:32:46%20GMT	https://lucaswoock.com/works/gp-explorer-2/	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/works/gp-explorer-2/index.html	(from https://lucaswoock.com/)
10:32:45	489/489	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Sep%202023%2016:36:58%20GMT	https://lucaswoock.com/wp-content/uploads/2023/08/icon-wireframe.svg	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/uploads/2023/08/icon-wireframe.svg	(from https://lucaswoock.com/)
10:32:46	61648/61648	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2005:32:46%20GMT	https://lucaswoock.com/works/parcel-tiny-house/	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/works/parcel-tiny-house/index.html	(from https://lucaswoock.com/)
10:32:46	65828/65828	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2005:32:47%20GMT	https://lucaswoock.com/works/maison-kitsune/	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/works/maison-kitsune/index.html	(from https://lucaswoock.com/)
10:32:46	411/411	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Sep%202023%2016:38:56%20GMT	https://lucaswoock.com/wp-content/uploads/2023/08/icon-uidesign.svg	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/uploads/2023/08/icon-uidesign.svg	(from https://lucaswoock.com/)
10:32:46	151377/151377	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Sep%202023%2016:40:07%20GMT	https://lucaswoock.com/wp-content/uploads/2023/08/vignette-1400x933.jpg	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/uploads/2023/08/vignette-1400x933.jpg	(from https://lucaswoock.com/)
10:32:46	1288/1288	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Sep%202023%2016:38:54%20GMT	https://lucaswoock.com/wp-content/uploads/2023/08/icon-artdirection.svg	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/uploads/2023/08/icon-artdirection.svg	(from https://lucaswoock.com/)
10:32:47	53075/53075	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Sep%202023%2016:39:28%20GMT	https://lucaswoock.com/wp-content/uploads/2023/08/Rectangle-24-1916x1080.jpg	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/uploads/2023/08/Rectangle-24-1916x1080.jpg	(from https://lucaswoock.com/)
10:32:47	893/893	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Sep%202023%2016:37:06%20GMT	https://lucaswoock.com/wp-content/uploads/2023/08/asterisque.svg	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/uploads/2023/08/asterisque.svg	(from https://lucaswoock.com/)
10:32:47	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2013%20Oct%202023%2005:32:49%20GMT	https://lucaswoock.com/contact	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/contact	(from https://lucaswoock.com/)
10:32:48	3212/3212	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Sep%202023%2016:40:19%20GMT	https://lucaswoock.com/wp-content/uploads/2023/09/back_hand.svg	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/uploads/2023/09/back_hand.svg	(from https://lucaswoock.com/)
10:32:48	46823/46823	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Sep%202023%2014:22:40%20GMT	https://lucaswoock.com/wp-content/themes/nc/dist/manifest.js?ver=2020727	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/themes/nc/dist/manifestf30b.js	(from https://lucaswoock.com/)
10:32:49	18772/18772	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2018%20Sep%202023%2018:36:23%20GMT	https://lucaswoock.com/wp-content/themes/nc/dist/js/app.js?ver=6.3.2	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/themes/nc/dist/js/appe35d.js	(from https://lucaswoock.com/)
10:32:49	50188/50188	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Sep%202023%2014:22:42%20GMT	https://lucaswoock.com/wp-content/themes/nc/dist/fonts/PPNeueMachina-PlainMedium.woff2	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/themes/nc/dist/fonts/PPNeueMachina-PlainMedium.html	(from https://lucaswoock.com/wp-content/themes/nc/dist/css/styles.css?ver=6.3.2)
10:32:49	60996/60996	---M--	200	added ('OK')	application/x-font-woff	date:Wed,%2013%20Sep%202023%2014:22:42%20GMT	https://lucaswoock.com/wp-content/themes/nc/dist/fonts/PPNeueMachina-PlainMedium.woff	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/themes/nc/dist/fonts/PPNeueMachina-PlainMedium.woff	(from https://lucaswoock.com/wp-content/themes/nc/dist/css/styles.css?ver=6.3.2)
10:32:50	21192/21192	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Sep%202023%2014:22:41%20GMT	https://lucaswoock.com/wp-content/themes/nc/dist/fonts/MonumentExtended-Light.woff2	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/themes/nc/dist/fonts/MonumentExtended-Light.html	(from https://lucaswoock.com/wp-content/themes/nc/dist/css/styles.css?ver=6.3.2)
10:32:50	22916/22916	---M--	200	added ('OK')	application/x-font-woff	date:Wed,%2013%20Sep%202023%2014:22:41%20GMT	https://lucaswoock.com/wp-content/themes/nc/dist/fonts/MonumentExtended-Light.woff	C:/My%20Web%20Sites/Portfolio/lucaswoock.com/wp-content/themes/nc/dist/fonts/MonumentExtended-Light.woff	(from https://lucaswoock.com/wp-content/themes/nc/dist/css/styles.css?ver=6.3.2)
